CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200052,Disagree,Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,≥3,No,No,1,>500,1,No,10,Disagree,Agree,Agree,605.2533,667.4296,639.7873
70200134,Disagree,Strongly Agree,Most lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Post-Secondary,Native,English,≥3,Yes,Yes,0,26 - 100,4,Yes,2,Strongly Agree,Agree,Agree,689.9528,627.6078,672.0703
70200112,Disagree,Agree,Most lesson,Male,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Secondary,Native,Others,1,Yes,No,1,26 - 100,2,Yes,0,Agree,Disagree,Agree,676.7768,582.9252,660.0384
70200152,Strongly Disagree,Strongly Agree,Every lesson,Female,2hr - 3hr,1hr - 2hr,2hr - 3hr,Public,Post-Secondary,Native,English,≥3,No,No,1,1 - 10,9,No,5,Agree,Strongly Agree,Strongly Agree,436.1151,475.67629999999997,479.239
70200043,Strongly Disagree,Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,3rd Generation,Others,2,Yes,No,1,1 - 10,1,No,5,Agree,Agree,Agree,518.1055,431.4652,476.0031
70200049,Disagree,Disagree,Most lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,No,1,26 - 100,2,Yes,7,Strongly Agree,Agree,Strongly Agree,707.9552,704.2219,646.9278
70200107,Strongly Disagree,Strongly Agree,Most lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,3rd Generation,Others,1,Yes,No,0,101 - 200,0,Yes,0,Strongly Agree,Disagree,Agree,620.4136,524.401,573.1763
70200012,Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,2,Yes,Yes,2,>500,3,No,0,Disagree,Disagree,Agree,735.792,713.134,691.0124000000001
70200061,Disagree,Strongly Agree,Most lesson,Male,1hr - 2hr,1hr - 2hr,0.5hr - 1hr,Public,Tertiary,Native,Others,≥3,Yes,No,2,26 - 100,5,No,4,Agree,Disagree,Agree,555.4636,504.6734,548.3434
70200110,Disagree,Agree,Most lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Secondary,Native,English,0,Yes,No,0,11 - 25,1,No,2,Agree,Disagree,Agree,733.3506,678.0979,698.3174
